Term_ID,Term,Short_Form,Category,Short_Definition,Extended_Definition,Why_It_Matters_For_PRO,Synonyms_And_Related_Terms,Example_In_Context,Source
54,Food and Drug Administration,FDA,Regulatory body/process,"The US federal regulatory agency responsible for approving and overseeing the safety and efficacy of drugs, biologics, and medical devices.","The Food and Drug Administration is a US federal agency within the Department of Health and Human Services responsible for protecting public health by assuring the safety, efficacy, and security of human drugs, biologics, medical devices, food, and other regulated products, operating under the Federal Food, Drug, and Cosmetic Act and the Public Health Service Act. Drug and biologic approval decisions are made by FDA's Center for Drug Evaluation and Research (CDER) and Center for Biologics Evaluation and Research (CBER) respectively, with oncology applications reviewed by the Office of Oncology Products within CDER. FDA's approach to PRO evidence in regulatory submissions is primarily governed by the 2009 PRO Guidance for Industry, with additional guidance from the 2022 Multiple Endpoints guidance, 2019 Missing Data guidance, and a series of COA qualification guidance documents. FDA's Oncology Center of Excellence (OCE) has been particularly active in developing PRO methodology through its Project Optimus initiative and through published reviews of PRO data in oncology NDAs and BLAs. FDA review divisions communicate PRO deficiencies via information requests during the review cycle, and PRO-related complete response letters (CRLs) are issued when PRO data quality or methodology is deemed insufficient for the claimed labelling language.","FDA guidance documents and published review memoranda from oncology NDAs and BLAs are primary sources for understanding US PRO evidentiary standards and common deficiency patterns. An AI agent must distinguish FDA from EMA PRO requirements — particularly regarding TTD versus TTDD preference, missing data guidance, and the USPI section structure for PRO claims — when processing jurisdiction-specific submissions.",FDA | Food and Drug Administration | CDER | Center for Drug Evaluation and Research | CBER | Center for Biologics Evaluation and Research | OCE | Oncology Center of Excellence | US regulatory authority | US regulator | FDA guidance | FDA PRO guidance | PDUFA | FDA review | FDA oncology | Project Patient Voice | Project Optimus,"FDA's review memorandum for the ixazomib NDA noted that the TTD analysis for patient-reported pain intensity using BPI-SF worst pain score was prespecified and multiplicity-controlled, and the HR of 0.74 (95% CI 0.59–0.93, p=0.009) met both statistical significance and clinical meaningfulness thresholds, supporting a PRO statement in USPI Section 14.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | FDA Multiple Endpoints in Clinical Trials Guidance (2022) [GUIDANCE] | FDA Guidance for Industry: Missing Data in Clinical Trials (2019) [GUIDANCE]
55,Risk Evaluation and Mitigation Strategy,REMS,Regulatory body/process,An FDA-required risk management programme ensuring that a drug's benefits outweigh its risks through specific safety measures and communication tools.,"A Risk Evaluation and Mitigation Strategy is a drug safety programme required by FDA under the FDAAA 2007 when a drug has serious risks that need specific management beyond standard labelling warnings to ensure that its benefits outweigh its risks in approved uses. REMS programmes may include communication tools such as medication guides and patient package inserts, elements to assure safe use (ETASU) such as prescriber certification, patient enrolment registries, pharmacy certification, and specific monitoring requirements, and implementation systems that monitor adherence to REMS conditions. In multiple myeloma, REMS programmes are notable for lenalidomide and thalidomide (REMS: RevAssist and THALOMID REMS, respectively) due to severe teratogenicity risk, and for belantamab mafodotin due to corneal toxicity requiring ophthalmological monitoring. REMS requirements can directly impact PRO data collection and trial design by introducing additional patient touchpoints, monitoring visits, and compliance requirements that affect the burden of participation and potentially alter PRO assessment conditions. PRO instruments should ideally capture patient burden attributable to REMS-related monitoring and restrictions, though this dimension is often underrepresented in standard HRQoL instruments.","REMS requirements in myeloma create a distinct patient burden layer — ophthalmology visits, contraception monitoring, registry enrolment — that standard PRO instruments may not capture and that can confound HRQoL comparisons between REMS-associated and non-REMS products. An AI agent must flag REMS status as a PRO data interpretation modifier and assess whether the trial's PRO instruments adequately captured REMS-related burden.",REMS | Risk Evaluation and Mitigation Strategy | ETASU | Elements to assure safe use | Medication guide | Patient package insert | RevAssist | THALOMID REMS | Risk management programme | Safety programme | Risk minimisation | Drug safety programme | Restricted distribution | Patient registry (REMS) | Prescriber certification | Pharmacy certification,"The sponsor acknowledged that the belantamab mafodotin REMS requirement for mandatory ophthalmological examinations every 3 weeks introduced an additional patient burden not captured by the EORTC QLQ-C30, and proposed supplementing the PRO programme with a symptom-specific eye symptom item to quantify the patient-reported impact of corneal events on daily functioning.",FDA FDAAA 2007 Section 505-1 [GUIDANCE] | FDA Guidance for Industry: Format and Content of Proposed REMS [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE]
56,Overall Survival,OS,Efficacy endpoint,Time from randomisation to death from any cause.,"Overall survival is the gold standard efficacy endpoint in oncology clinical trials, defined as the time from the date of randomisation to death from any cause, with patients alive at the data cut-off date censored at their last known alive date. OS is considered the most clinically unambiguous endpoint because it is objective, universally defined, and directly meaningful to patients and clinicians without requiring surrogate assumptions. It is analysed using Kaplan-Meier estimation and the log-rank test, with the hazard ratio from Cox proportional hazards regression as the primary summary statistic. OS as a primary endpoint provides the highest level of regulatory evidence for clinical benefit and is required for full approval in many oncology indications unless a sufficiently validated surrogate is accepted. In multiple myeloma, OS is increasingly achievable as a primary endpoint in earlier lines of therapy, though long follow-up requirements and the confounding effect of subsequent therapies remain significant analytical challenges.","When OS is the primary endpoint, PRO endpoints are typically positioned as key secondary or exploratory endpoints in the hierarchical testing procedure, meaning PRO confirmation depends on OS achieving significance first. Critically, OS alone does not convey how patients feel during treatment; PRO data complement OS by demonstrating that survival benefit is accompanied by preserved or improved symptom burden and HRQoL, which is essential for complete benefit-risk characterisation and increasingly expected by both FDA and EMA in oncology labelling.",OS | Overall survival | Survival | All-cause mortality | Death | Survival endpoint | Survival analysis | Kaplan-Meier OS | OS benefit | Survival benefit | Time to death | OS HR | Median OS | OS rate | Long-term survival,"In the POLLUX trial, OS data were immature at the primary analysis; however, the prespecified TTD analysis for patient-reported global health status demonstrated a significant HR of 0.68, providing evidence that the PFS and PRO benefits occurred without deterioration in patient well-being, supporting the benefit-risk narrative ahead of OS maturity.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | EMA Appendix 2 to the Guideline on the Evaluation of Anticancer Medicinal Products in Man (2016) [GUIDANCE]
57,Progression-Free Survival,PFS,Efficacy endpoint,"Time from randomisation to disease progression or death from any cause, whichever occurs first.","PFS is defined as the time from randomisation to the first documented disease progression — assessed by imaging, laboratory parameters, or clinical criteria per protocol-specified response criteria such as IMWG for myeloma — or death from any cause, whichever occurs first. PFS is the most commonly used primary endpoint in relapsed/refractory multiple myeloma trials because it is measurable earlier than OS, less confounded by subsequent therapies, and has been accepted by FDA and EMA as a surrogate for clinical benefit in the myeloma setting. It is analysed using Kaplan-Meier and Cox regression, with HR and median PFS as primary summary statistics; blinded independent central review (BICR) of progression assessments is preferred by regulatory agencies to minimise assessment bias. PFS improvements can support regular approval when the magnitude of effect is considered clinically meaningful and not offset by unacceptable toxicity, but sponsors must demonstrate that the PFS benefit translates into patient-perceived benefit to complete the benefit-risk picture. In multiple myeloma, PFS2 — time to second progression — is increasingly used as a secondary endpoint to assess the durability of benefit across subsequent lines of therapy.",PFS is the most common primary endpoint against which PRO endpoints are positioned as key secondary endpoints in myeloma trials; PRO data provide essential evidence that PFS improvement translates into tangible patient-perceived benefit rather than merely delaying radiographic or laboratory-defined progression without symptomatic impact. FDA and EMA increasingly expect sponsors to demonstrate PRO concordance with PFS — that arms with superior PFS also show preserved or improved HRQoL — as a condition for robust benefit-risk labelling.,PFS | Progression-free survival | PFS benefit | Progression or death | Time to progression or death | PFS HR | Median PFS | PFS rate | Radiographic PFS | rPFS | Imaging-based PFS | PFS2 | Second PFS | Progression-free | Disease progression-free survival | mPFS,"In the CANDOR trial, the experimental arm demonstrated a significantly improved median PFS of 28.6 versus 15.2 months (HR 0.59, 95% CI 0.46–0.76, p<0.0001); the concordant TTD analysis showing a 31% reduction in risk of global health status deterioration provided critical evidence that patients experienced the PFS benefit alongside preserved quality of life.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | EMA Appendix 2 to the Guideline on the Evaluation of Anticancer Medicinal Products in Man (2016) [GUIDANCE] | Rajkumar SV et al. 2011 (Blood)
58,Radiographic Progression-Free Survival,rPFS,Efficacy endpoint,"PFS defined specifically by imaging-based progression assessment, excluding clinical or laboratory progression criteria.","Radiographic PFS is a variant of PFS in which progression events are defined exclusively by imaging findings — such as CT, MRI, or PET-CT — according to standardised response criteria, excluding progression defined solely by clinical symptoms, biomarker changes, or laboratory parameters. In solid tumour oncology (particularly prostate cancer, using RECIST or PCWG criteria), rPFS is a formally established endpoint; in multiple myeloma, standard PFS definitions incorporate both imaging (new lytic lesions, extramedullary plasmacytomas) and laboratory/biomarker criteria (M-protein, serum free light chain), meaning the rPFS designation is less commonly used as a primary endpoint in myeloma compared with prostate oncology. The rationale for rPFS is to produce a more objective, auditable progression determination less susceptible to symptomatic or clinical investigator bias than composite PFS definitions. Blinded independent central review (BICR) of imaging is typically required for rPFS endpoints in regulatory submissions to minimise site-level assessment variability. In myeloma contexts, the term may appear when trials include a bone imaging component or extramedullary disease assessment as part of the progression definition.","rPFS has limited direct PRO implications compared with composite PFS, but its objectivity makes it a robust anchor for PRO correlation analyses: if rPFS improvement is not accompanied by concordant PRO benefit, this discordance suggests the imaging-defined progression threshold may not correspond to patient-perceptible clinical worsening. An AI agent should use rPFS versus PRO discordance as a signal to scrutinise the clinical meaningfulness of the rPFS endpoint definition.",rPFS | Radiographic PFS | Radiographic progression-free survival | Imaging-based PFS | Radiological PFS | Scan-based PFS | RECIST-based PFS | PCWG criteria | Imaging progression | Radiographic progression | Central radiology review | BICR | Blinded independent central review,"In the ARCHES trial in metastatic hormone-sensitive prostate cancer, rPFS was the primary endpoint defined by RECIST 1.1 and PCWG2 bone scan criteria; the concordant PRO analysis of patient-reported pain intensity confirmed that the 61% reduction in rPFS risk (HR 0.39) was accompanied by a significant delay in TTD for worst pain score, validating the clinical relevance of the imaging-defined benefit.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | PCWG3 Criteria Scher HI et al. 2016 (J Clin Oncol) | Common usage in regulatory literature
59,Overall Response Rate,ORR,Efficacy endpoint,The proportion of patients achieving a predefined minimum level of tumour response to treatment.,"ORR is defined as the proportion of patients in the treated population who achieve either a complete response (CR) or partial response (PR) — or deeper responses such as stringent CR (sCR) in myeloma — according to pre-specified, standardised response criteria assessed by the investigator or independent central review. In multiple myeloma, response is assessed per IMWG Uniform Response Criteria, encompassing sCR, CR, very good partial response (VGPR), PR, minimal response (MR), stable disease (SD), and progressive disease (PD). ORR is accepted by FDA as the basis for Accelerated Approval when it is reasonably likely to predict clinical benefit, and as a primary endpoint for regular approval when durable responses in serious conditions with unmet need are demonstrated. It is typically presented as a point estimate with 95% confidence interval, and compared between arms using chi-squared or Fisher's exact tests in randomised trials. In myeloma, ORR is a primary endpoint in many single-arm Phase II trials seeking accelerated approval, and a key secondary endpoint in Phase III trials where PFS or OS is primary.","ORR does not capture how patients feel or function during response, making it an incomplete measure of treatment value from the patient perspective; PRO data are essential to determine whether objective tumour responses translate into patient-perceived symptomatic benefit. Regulators increasingly expect that ORR-based approvals in myeloma be accompanied by PRO evidence — even if exploratory — demonstrating that responding patients experience meaningful symptom relief, to contextualise the clinical meaning of the response rate for labelling.",ORR | Overall response rate | Response rate | Objective response rate | Tumour response rate | CR rate | PR rate | VGPR rate | sCR rate | Partial response | Complete response | Stringent complete response | Objective response | IMWG response | Best overall response | BOR | Overall response | Confirmed response rate,"The single-arm phase II trial demonstrated an ORR of 73% per IMWG criteria, supporting accelerated approval; the sponsor's exploratory PRO analyses using EORTC QLQ-MY20 disease symptoms subscale showed that responding patients (CR/VGPR) reported significantly lower symptom burden at week 12 than non-responders, providing biological plausibility for the PRO benefit associated with depth of response.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | IMWG Uniform Response Criteria Kumar SK et al. 2016 (Lancet Oncol) | EMA Appendix 2 to the Guideline on the Evaluation of Anticancer Medicinal Products in Man (2016) [GUIDANCE]
60,Duration of Response,DOR,Efficacy endpoint,Time from first documented response to disease progression or death among patients who achieved a response.,"DOR is defined as the time from the date of first confirmed response (CR or PR, or deeper) to the date of first documented disease progression or death among patients who achieved an objective response, and is therefore calculated only in the responding subpopulation. DOR is an important complement to ORR because a high response rate with short response duration may provide less clinical benefit than a lower response rate with durable responses; together, ORR and DOR characterise the quality and durability of tumour control. DOR is analysed using Kaplan-Meier estimation, with median DOR and milestone response rates (e.g., proportion maintaining response at 12 and 24 months) as key summary statistics. Because DOR is calculated in a subset of patients selected by their response, it is subject to selection bias and must be interpreted cautiously in comparative analyses; it is most informative in single-arm settings or as a secondary endpoint in randomised trials. In multiple myeloma, deepening responses over time — particularly conversion from PR to VGPR or CR with extended treatment — can extend DOR and complicate its interpretation.",DOR informs whether the tumour control that generates ORR-based approval is sustained long enough to yield patient-perceived benefit; short DOR with rapid relapse may negate any PRO benefit observed during the response period. An AI agent should cross-reference DOR duration with the timeframe over which PRO improvements are observed to assess whether HRQoL benefit is sustained or transient.,DOR | Duration of response | Response duration | Duration of objective response | Maintenance of response | Response durability | Time in response | DoR | DR | Duration of CR | Duration of PR | Sustained response | Durable response | Response maintenance,"Among the 68% of patients achieving ≥VGPR, median DOR was 22.1 months (95% CI 18.4–not reached); PRO analyses in responders showed that improvements in patient-reported fatigue and pain scores were sustained across the median response duration, supporting the clinical meaningfulness of the durable tumour control.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | IMWG Uniform Response Criteria Kumar SK et al. 2016 (Lancet Oncol) | Common usage in regulatory literature
61,Disease Control Rate,DCR,Efficacy endpoint,"The proportion of patients achieving complete response, partial response, or stable disease lasting a minimum predefined duration.","DCR is a composite response endpoint defined as the proportion of patients who achieve CR, PR, or stable disease (SD) maintained for at least a minimum duration — typically 6 or 8 weeks — according to the study's response criteria. It extends ORR by including patients who achieve disease stabilisation without meeting the threshold for objective response, and therefore captures the full population of patients deriving some degree of tumour control from treatment. DCR is particularly relevant in heavily pretreated populations or for therapies with a primarily cytostatic mechanism, where stabilisation rather than shrinkage is the predominant mode of benefit. Regulatory agencies generally view DCR as a supportive rather than primary endpoint because stable disease does not necessarily reflect treatment activity over and above natural disease course; its inclusion in submissions is common but it rarely drives approval decisions independently. In multiple myeloma, DCR is less commonly emphasised than in solid tumours because IMWG response criteria include granular response categories down to minimal response (MR) and stable disease, making DCR a less discriminating summary measure.","DCR encompasses patients who are stabilised but may not report meaningful symptomatic improvement, making the PRO relevance of high DCR values highly dependent on the depth and distribution of responses within the composite. An AI agent should decompose DCR into its component response categories and cross-reference PRO outcomes separately for stable disease versus PR/CR patients to avoid overinterpreting DCR as evidence of patient-perceived benefit.",DCR | Disease control rate | Disease control | Tumour control rate | Clinical benefit rate | CBR | Stable disease rate | SD rate | CR+PR+SD | Overall disease control | Durable stable disease | Stabilisation rate | Non-progression rate,"DCR was 89% in the experimental arm, comprising 34% CR/sCR, 38% VGPR, 12% PR, and 5% stable disease; PRO subgroup analyses suggested that patients achieving ≥VGPR reported clinically meaningful improvements in global health status, while those achieving only SD showed no significant PRO change from baseline, highlighting the response-depth dependency of patient-perceived benefit.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | IMWG Uniform Response Criteria Kumar SK et al. 2016 (Lancet Oncol) | Common usage in regulatory literature
62,Time to Response,TTR,Efficacy endpoint,Time from randomisation to the first documented tumour response meeting predefined response criteria.,"TTR is defined as the time from randomisation or first dose to the date of first confirmed response (CR or PR, or deeper per the applicable response criteria), calculated only in the subset of patients who achieved a response. It characterises the speed of treatment effect onset and is relevant for therapies in which rapid response initiation is a differentiating clinical attribute — for example in symptomatic myeloma patients with high disease burden where prompt tumour control may translate to rapid symptom relief. TTR is most commonly presented as a median with range or interquartile range, and compared between arms using non-parametric methods; formal hypothesis testing of TTR is uncommon as it is typically a descriptive secondary endpoint. In multiple myeloma, TTR is particularly meaningful for patients presenting with renal impairment, hypercalcaemia, or bone pain requiring rapid disease control. TTR is distinct from TTI (time to improvement, Term 3), which measures the speed of patient-perceived symptomatic benefit — the two endpoints may diverge if tumour response precedes or follows patient-reported improvement.","TTR is clinically linked to TTI: rapid tumour response (short TTR) should in theory predict early patient-perceived symptom improvement (short TTI), and discordance between TTR and TTI is a signal that objective response may not be immediately translating into patient experience. An AI agent should cross-reference TTR and TTI estimates to assess the lag between tumour control and patient-perceived benefit in myeloma populations.",TTR | Time to response | Time to first response | Time to objective response | Speed of response | Response onset | Time to CR | Time to PR | Time to first CR | Median TTR | Onset of response | Response kinetics,"Median TTR was 1.1 months (range 0.9–7.4) in the experimental arm, indicating rapid onset of tumour control; consistent with this, the median TTI for patient-reported worst pain score was 4.3 weeks, suggesting that objective response translated into patient-perceived pain relief within approximately one treatment cycle.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | IMWG Uniform Response Criteria Kumar SK et al. 2016 (Lancet Oncol) | Common usage in regulatory literature
63,Event-Free Survival,EFS,Efficacy endpoint,"Time from randomisation to any predefined unfavourable event including progression, relapse, treatment failure, or death.","EFS is a composite time-to-event endpoint measuring the interval from randomisation to the first occurrence of any predefined unfavourable clinical event, which may include disease progression, relapse from response, treatment failure, initiation of a new anti-cancer therapy, or death from any cause, depending on the study's event definition. The specific events included in EFS must be pre-specified in the protocol and can vary substantially between trials, making cross-trial comparison of EFS estimates unreliable without careful examination of event definitions. EFS is commonly used in haematological malignancy trials — including multiple myeloma transplant-eligible studies — where the composite of events is clinically more meaningful than progression alone because treatment failure and relapse have distinct patient impact profiles. Regulatory agencies assess EFS on a case-by-case basis depending on the comprehensiveness and clinical relevance of the composite event definition; EFS incorporating patient-relevant events such as treatment switch or hospitalisation may be more PRO-relevant than PFS alone. EFS definitions that include initiation of next therapy partially overlap with TTNT (Term 66).",EFS events — particularly treatment failure and relapse — are often associated with acute symptom burden increases that PRO instruments should be timed to capture; an AI agent should verify that PRO assessment schedules in EFS trials include assessments at or near clinically relevant events to avoid missing the symptom impact of the EFS event itself.,EFS | Event-free survival | Failure-free survival | FFS (partially overlapping) | Composite event endpoint | Treatment failure survival | Relapse-free survival | RFS (in some contexts) | Composite survival | Event-driven survival | EFS HR | Median EFS,"In the transplant-eligible NDMM setting, EFS — defined as time to progression, relapse from CR, or death — was the primary endpoint; PRO assessments were scheduled at the time of each EFS event to capture the symptom burden associated with relapse, enabling correlation of EFS event occurrence with patient-reported deterioration in pain and functioning.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | Common usage in regulatory literature | IMWG Uniform Response Criteria Kumar SK et al. 2016 (Lancet Oncol)
64,Disease-Free Survival,DFS,Efficacy endpoint,Time from achieving complete response or completing definitive treatment to disease relapse or death from any cause.,"DFS is a time-to-event endpoint measured from the date of achieving complete response or completing curative-intent definitive treatment to the date of first disease relapse or death from any cause, making it applicable only in patient populations where remission or cure is the treatment goal. It is the standard primary endpoint in adjuvant oncology trials — particularly in solid tumours — and in haematological malignancies it applies to patients who achieve CR following induction and consolidation therapy, such as transplant-eligible myeloma patients after autologous stem cell transplantation (ASCT). DFS differs from PFS in that it requires a baseline CR state (rather than measuring from randomisation regardless of response) and from OS in that it includes relapse as an event independent of death. FDA accepts DFS as a basis for regular approval in adjuvant settings when the magnitude of DFS benefit is clinically meaningful and the DFS-OS correlation has been validated. In multiple myeloma post-transplant maintenance studies, DFS may be used as an endpoint alongside MRD negativity sustained rates.","PRO assessments in DFS trials must capture the distinct phases of patient experience: the achievement of CR (typically accompanied by significant PRO improvement), the maintenance period (potentially high PRO burden from prolonged therapy), and the relapse event (acute PRO deterioration). An AI agent should verify that PRO assessment schedules in DFS trials span all three phases and that relapse-associated PRO deterioration is captured at the event timepoint.",DFS | Disease-free survival | Relapse-free survival | RFS | CR durability | Remission duration | Post-CR survival | Adjuvant DFS | Leukemia-free survival | LFS (related) | DFS rate | DFS HR | Median DFS | Time to relapse | Post-remission survival,"In the IFM 2009 trial evaluating lenalidomide maintenance post-ASCT in newly diagnosed myeloma, DFS was a key secondary endpoint; PRO analyses demonstrated that patients maintaining DFS on lenalidomide maintenance reported significantly better global health status scores than those who relapsed, validating the clinical meaningfulness of the DFS benefit from the patient perspective.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | EMA Appendix 2 to the Guideline on the Evaluation of Anticancer Medicinal Products in Man (2016) [GUIDANCE] | Common usage in regulatory literature
65,Failure-Free Survival,FFS,Efficacy endpoint,"Time from randomisation to treatment failure, disease progression, or death, with treatment failure as an additional composite event.","FFS is a composite time-to-event endpoint measuring the interval from randomisation to the earliest of treatment failure (defined as inadequate response, unacceptable toxicity, or investigator decision to discontinue for any reason), disease progression, or death. The inclusion of treatment failure as a component event distinguishes FFS from PFS, making it a broader and more patient-centric composite that captures situations where treatment becomes untenable even without formal progression. FFS is used in settings where treatment tolerability and feasibility are critical components of the treatment benefit equation, such as elderly or frail myeloma populations receiving intensive combination regimens where toxicity-driven discontinuation is a common and clinically meaningful outcome. The definition of treatment failure must be pre-specified precisely in the protocol to ensure reproducibility, as investigator discretion in defining failure can introduce variability. FFS partially overlaps with EFS (Term 63) but specifically emphasises treatment failure as a distinct event category.","FFS captures treatment tolerability events — discontinuations due to toxicity or inadequate response — that are highly PRO-relevant, as these events directly reflect the patient's lived experience of treatment burden and are often accompanied by significant symptom burden changes. An AI agent should cross-reference FFS event reasons with PRO trajectories to assess whether FFS events are preceded by patient-detectable deterioration captured in PRO data.",FFS | Failure-free survival | Treatment failure survival | Treatment failure | Tolerability-adjusted survival | Composite failure endpoint | FFS HR | Median FFS | Treatment discontinuation endpoint | Toxicity-driven failure | EFS (partially overlapping),"FFS, incorporating progression, unacceptable toxicity-related discontinuation, and death, was 18.4 months in the triplet arm versus 13.1 months in the doublet arm (HR 0.71); PRO analysis showed that patients experiencing toxicity-driven treatment failure reported a mean 14.2-point deterioration in global health status in the 4-week window preceding discontinuation, confirming that FFS events were preceded by patient-detectable PRO worsening.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | Common usage in regulatory literature | Mateos MV et al. 2015 (Lancet Oncol) [VERIFY]
66,Time to Next Treatment,TTNT,Disease-specific endpoint,Time from end of current treatment to initiation of next line of anti-cancer therapy.,"TTNT measures the interval from the end (or discontinuation) of the current study treatment to the date of initiation of the next anti-cancer therapy, providing a real-world measure of how long patients remain treatment-free — or free from the burden of starting a new regimen — following study participation. TTNT is a clinically meaningful endpoint because it captures not only disease control but also the practical patient benefit of avoiding additional treatment burden, including the financial, physical, and functional costs of re-treatment. It is particularly relevant in multiple myeloma, a chronically relapsing disease where the duration of treatment-free intervals directly impacts cumulative treatment burden and quality of life between lines. TTNT is often used as an endpoint in real-world evidence studies and registry analyses, and as a secondary endpoint in randomised trials to contextualise PFS benefits in terms of clinical consequence beyond the trial period. TTNT is distinct from PFS in that it requires actual treatment initiation rather than protocol-defined progression assessment, and may be influenced by physician prescribing patterns and drug availability.","TTNT is directly linked to patient-perceived treatment burden: longer TTNT translates into extended periods free from treatment-related symptom burden, and PRO instruments should ideally capture HRQoL during treatment-free intervals to quantify this benefit. An AI agent should cross-reference TTNT estimates with PRO trajectories during off-treatment periods to assess the patient-experienced value of treatment-free intervals.",TTNT | Time to next treatment | Time to next therapy | Time to subsequent therapy | Time to next anti-cancer treatment | Treatment-free interval | TFI | Time to re-treatment | Time to salvage therapy | Off-treatment interval | Time between lines | TTNT HR | Median TTNT,"Patients in the experimental arm had a significantly longer median TTNT of 31.6 versus 19.4 months (HR 0.63, p<0.001); exploratory PRO analyses during the treatment-free interval showed that global health status scores in the experimental arm remained above baseline for a median of 8.2 months after treatment completion, demonstrating the patient-perceived value of the extended treatment-free period.",Common usage in regulatory literature | Facon T et al. 2018 (N Engl J Med) [VERIFY] | Kumar SK et al. 2012 (Leukemia) [VERIFY]
67,Time to Progression,TTP,Efficacy endpoint,"Time from randomisation to objective disease progression, excluding death as an event.","TTP measures the interval from randomisation to the first objectively documented disease progression per protocol-specified response criteria, with deaths — from any cause — censored rather than counted as events. This distinguishes TTP from PFS, which counts death as a competing event; TTP therefore isolates the anti-tumour effect of treatment on disease progression independent of survival, at the cost of introducing informative censoring bias when death rates are high. TTP was a commonly used primary endpoint in early myeloma trials before PFS became standard, and it remains in use in some settings and in historical comparisons. The censoring of deaths in TTP is a significant methodological concern: in populations with high non-progression mortality — such as elderly, frail myeloma patients — TTP can substantially overestimate time under disease control compared with PFS. Regulatory agencies, including FDA, currently prefer PFS over TTP as a regulatory endpoint in oncology because PFS avoids the informative censoring problem associated with death.","TTP excludes deaths as events, meaning patients who die without documented progression are censored — this can create a misleading impression that treatment is controlling disease in patients who actually died before progression could be assessed, disconnecting TTP from the patient experience of disease course. An AI agent encountering TTP as a primary endpoint should flag the potential for overestimation of disease control duration and cross-reference with OS data to assess whether high non-progression mortality may be inflating TTP estimates.",TTP | Time to progression | Progression endpoint | Disease progression time | Tumour progression time | Time to disease progression | TTP HR | Median TTP | Time to PD | Progression-only survival | TTP vs PFS | Censored death analysis,"In the historical VISTA trial evaluating bortezomib-melphalan-prednisone, TTP was 24.0 versus 16.6 months (HR 0.48); regulatory reviewers noted that TTP should be interpreted alongside OS data because deaths censored in the TTP analysis — predominantly infection-related in the bortezomib arm — could have introduced informative censoring bias into the TTP estimate.",FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | EMA Appendix 2 to the Guideline on the Evaluation of Anticancer Medicinal Products in Man (2016) [GUIDANCE] | San Miguel JF et al. 2008 (N Engl J Med) [VERIFY]
